                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,0.16979,0.65789,1,0.63308,0.070242,0.0033065,0.0033065
1,0.12803,0.89145,1,0.43029,0.040078,0.0064755,0.0064755
2,0.04729,0.92928,1,0.36645,0.0097483,0.0094794,0.0094794
3,0.0262,0.96711,1,0.32957,0.0092575,0.0092575,0.0092575
4,0.02125,0.97039,1,0.32488,0.0092575,0.0092575,0.0092575
5,0.01518,0.97204,1,0.32405,0.00901,0.00901,0.00901
6,0.00875,0.98355,1,0.31404,0.0087625,0.0087625,0.0087625
7,0.00679,0.9852,1,0.31025,0.008515,0.008515,0.008515
8,0.00534,0.98026,1,0.31711,0.0082675,0.0082675,0.0082675
9,0.00344,0.96875,1,0.32456,0.00802,0.00802,0.00802
10,0.00443,0.98026,1,0.31362,0.0077725,0.0077725,0.0077725
11,0.00219,0.98355,1,0.31286,0.007525,0.007525,0.007525
12,0.00269,0.98684,1,0.31016,0.0072775,0.0072775,0.0072775
13,0.00419,0.97697,1,0.31951,0.00703,0.00703,0.00703
14,0.00295,0.98026,1,0.31659,0.0067825,0.0067825,0.0067825
15,0.00134,0.9852,1,0.31164,0.006535,0.006535,0.006535
16,0.00172,0.9852,1,0.31076,0.0062875,0.0062875,0.0062875
17,0.00157,0.97697,1,0.31891,0.00604,0.00604,0.00604
18,0.00093,0.98684,1,0.31014,0.0057925,0.0057925,0.0057925
19,0.00231,0.98355,1,0.31288,0.005545,0.005545,0.005545
20,0.00082,0.98684,1,0.30842,0.0052975,0.0052975,0.0052975
21,0.00144,0.98355,1,0.31057,0.00505,0.00505,0.00505
22,0.00295,0.98355,1,0.31219,0.0048025,0.0048025,0.0048025
23,0.00245,0.97862,1,0.31692,0.004555,0.004555,0.004555
24,0.00042,0.98191,1,0.31185,0.0043075,0.0043075,0.0043075
25,0.00061,0.98191,1,0.3132,0.00406,0.00406,0.00406
26,0.00047,0.98191,1,0.31369,0.0038125,0.0038125,0.0038125
27,0.00117,0.98684,1,0.31022,0.003565,0.003565,0.003565
28,0.00013,0.98191,1,0.31173,0.0033175,0.0033175,0.0033175
29,0.00012,0.98684,1,0.31093,0.00307,0.00307,0.00307
30,0.00013,0.9852,1,0.31073,0.0028225,0.0028225,0.0028225
31,0.00013,0.9852,1,0.31031,0.002575,0.002575,0.002575
32,0.00127,0.98684,1,0.31084,0.0023275,0.0023275,0.0023275
33,0.00018,0.98355,1,0.31152,0.00208,0.00208,0.00208
34,6.00E-05,0.9852,1,0.31104,0.0018325,0.0018325,0.0018325
35,0.00036,0.98684,1,0.31018,0.001585,0.001585,0.001585
36,0.00022,0.98684,1,0.31023,0.0013375,0.0013375,0.0013375
37,0.0001,0.98684,1,0.30983,0.00109,0.00109,0.00109
38,8.00E-05,0.98684,1,0.31023,0.0008425,0.0008425,0.0008425
39,0.00152,0.98684,1,0.31086,0.000595,0.000595,0.000595
